Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-21;Mujer;Usera;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5420;Operadores de telemarketing;7831;Sastres, modistos, peleteros y sombrereros
ene-21;Hombre;Usera;Menor de 25 años;Extracomunitaria;5821;Auxiliares de vuelo y camareros de avión, barco y tren;4422;Recepcionistas de hoteles;4412;Recepcionistas (excepto de hoteles)
ene-21;Hombre;Vicálvaro;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;3124;Técnicos en electrónica (excepto electromedicina);9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-21;Mujer;Retiro;Entre 36 y 45 años;Española;3724;Monitores de actividades recreativas y de entretenimiento;3724;Monitores de actividades recreativas y de entretenimiento;;
ene-21;Mujer;Centro;Entre 36 y 45 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5710;Trabajadores de los cuidados personales a domicilio;5833;Conserjes de edificios
ene-21;Hombre;Latina;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;2652;Profesionales de relaciones públicas;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Hombre;Villaverde;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;5220;Vendedores en tiendas y almacenes;9811;Peones del transporte de mercancías y descargadores
ene-21;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4424;Teleoperadores;5220;Vendedores en tiendas y almacenes
ene-21;Mujer;Centro;Entre 26 y 35 años;Española;3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas;2939;Artistas creativos e interpretativos no clasificados bajo otros epígrafes;2323;Profesores de enseñanza no reglada de música y danza
ene-21;Mujer;Centro;Entre 36 y 45 años;Española;3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas;;;;
ene-21;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;9229;Otro personal de limpieza;5220;Vendedores en tiendas y almacenes;4424;Teleoperadores
ene-21;Mujer;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4411;Empleados de información al usuario;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Hombre;Otro Municipio;Entre 46 y 55 años;Española;5833;Conserjes de edificios;7191;Mantenedores de edificios;7121;Albañiles
ene-21;Hombre;Salamanca;Menor de 25 años;Española;;;;;;
ene-21;Hombre;Arganzuela;Entre 26 y 35 años;Extracomunitaria;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Hombre;Arganzuela;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;5420;Operadores de telemarketing;;
ene-21;Mujer;Salamanca;Entre 26 y 35 años;Española;2451;Arquitectos (excepto arquitectos paisajistas y urbanistas);2451;Arquitectos (excepto arquitectos paisajistas y urbanistas);2481;Arquitectos técnicos y técnicos urbanistas
ene-21;Mujer;Chamberí;Entre 26 y 35 años;Española;2159;Profesionales de la salud no clasificados bajo otros epígrafes;;;;
ene-21;Hombre;Otro Municipio;Entre 46 y 55 años;Española;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9443;Barrenderos y afines;7510;Electricistas de la construcción y afines
feb-21;Mujer;Usera;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio
feb-21;Hombre;Usera;Entre 26 y 35 años;Extracomunitaria;8331;Operadores de maquinaria de movimientos de tierras y equipos similares;5110;Cocineros asalariados;8412;Conductores asalariados de automóviles, taxis y furgonetas
feb-21;Hombre;Hortaleza;Entre 46 y 55 años;Extracomunitaria;7121;Albañiles;8209;Montadores y ensambladores no clasificados en otros epígrafes;7199;Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes
feb-21;Mujer;Vicálvaro;Entre 56 y 65 años;Extracomunitaria;9100;Empleados domésticos;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-21;Hombre;Centro;Entre 26 y 35 años;Extracomunitaria;9310;Ayudantes de cocina;5110;Cocineros asalariados;5110;Cocineros asalariados
feb-21;Hombre;Hortaleza;Menor de 25 años;Española;9433;Repartidores, recadistas y mensajeros a pie;9320;Preparadores de comidas rápidas;3724;Monitores de actividades recreativas y de entretenimiento
feb-21;Mujer;Ciudad Lineal;Menor de 25 años;Española;9310;Ayudantes de cocina;3724;Monitores de actividades recreativas y de entretenimiento;5120;Camareros asalariados
feb-21;Mujer;Fuencarral-el Pardo;Entre 26 y 35 años;Extracomunitaria;3321;Técnicos superiores en higiene bucodental;4412;Recepcionistas (excepto de hoteles);;
feb-21;Mujer;Moncloa-aravaca;Entre 26 y 35 años;Extracomunitaria;9820;Reponedores;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-21;Mujer;Otro Municipio;Entre 36 y 45 años;Española;3532;Organizadores de conferencias y eventos;3831;Técnicos de grabación audiovisual;2484;Diseñadores gráficos y multimedia
feb-21;Hombre;Centro;Entre 26 y 35 años;Extracomunitaria;1421;Directores y gerentes de restaurantes;5110;Cocineros asalariados;3734;Chefs
feb-21;Mujer;Vicálvaro;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;4309;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
feb-21;Mujer;Moratalaz;Entre 46 y 55 años;Española;2155;Ópticos-optometristas;;;;
ene-21;Mujer;Carabanchel;Entre 26 y 35 años;Comunitaria;9811;Peones del transporte de mercancías y descargadores;9700;Peones de las industrias manufactureras;9700;Peones de las industrias manufactureras
ene-21;Mujer;Otro Municipio;Entre 46 y 55 años;Española;2624;Especialistas en políticas y servicios de personal y afines;4112;Empleados de control de personal y nóminas;3613;Asistentes de dirección y administrativos
ene-21;Hombre;Carabanchel;Entre 36 y 45 años;Extracomunitaria;7191;Mantenedores de edificios;9811;Peones del transporte de mercancías y descargadores;7121;Albañiles
ene-21;Mujer;Ciudad Lineal;Entre 56 y 65 años;Española;2824;Profesionales del trabajo y la educación social;3713;Profesionales de apoyo al trabajo y a la educación social;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-21;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);9100;Empleados domésticos
ene-21;Mujer;Centro;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Mujer;Tetuán;Entre 26 y 35 años;Española;2824;Profesionales del trabajo y la educación social;2825;Agentes de igualdad de oportunidades entre mujeres y hombres;2312;Técnicos educadores de educación especial
ene-21;Hombre;Centro;Entre 26 y 35 años;Extracomunitaria;9320;Preparadores de comidas rápidas;4422;Recepcionistas de hoteles;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Mujer;Arganzuela;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;4424;Teleoperadores;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Mujer;Ciudad Lineal;Entre 26 y 35 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;5722;Cuidadores de niños en domicilios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Mujer;Usera;Menor de 25 años;Española;4424;Teleoperadores;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Hombre;Carabanchel;Entre 46 y 55 años;Española;2451;Arquitectos (excepto arquitectos paisajistas y urbanistas);2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;3732;Diseñadores y decoradores de interior
ene-21;Hombre;Tetuán;Entre 26 y 35 años;Extracomunitaria;2121;Enfermeros no especializados;;;;
ene-21;Mujer;Usera;Entre 46 y 55 años;Española;2324;Profesores de enseñanza no reglada de artes;3733;Técnicos en galerías de arte, museos y bibliotecas;3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas
ene-21;Hombre;Vicálvaro;Menor de 25 años;Española;9820;Reponedores;5721;Cuidadores de niños en guarderías y centros educativos;;
ene-21;Mujer;Latina;Entre 26 y 35 años;Española;5721;Cuidadores de niños en guarderías y centros educativos;4411;Empleados de información al usuario;3724;Monitores de actividades recreativas y de entretenimiento
ene-21;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5622;Técnicos de emergencias sanitarias;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Hombre;Villaverde;Entre 36 y 45 años;Extracomunitaria;4111;Empleados de contabilidad;4123;Empleados de logística y transporte de pasajeros y mercancías;2613;Analistas financieros
ene-21;Hombre;Chamberí;Entre 56 y 65 años;Comunitaria;4424;Teleoperadores;4111;Empleados de contabilidad;3510;Agentes y representantes comerciales
ene-21;Mujer;Usera;Entre 26 y 35 años;Extracomunitaria;4412;Recepcionistas (excepto de hoteles);5220;Vendedores en tiendas y almacenes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Mujer;Retiro;Entre 36 y 45 años;Española;5710;Trabajadores de los cuidados personales a domicilio;;;;
ene-21;Hombre;Hortaleza;Entre 46 y 55 años;Española;5833;Conserjes de edificios;3510;Agentes y representantes comerciales;2640;Profesionales de ventas técnicas y médicas (excepto las TIC)
ene-21;Mujer;Hortaleza;Entre 46 y 55 años;Española;2810;Economistas;1221;Directores comerciales y de ventas;2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional)
ene-21;Mujer;Usera;Entre 26 y 35 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados
ene-21;Mujer;San Blas;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;9820;Reponedores;8340;Marineros de puente, marineros de máquinas y afines
ene-21;Hombre;Hortaleza;Menor de 25 años;Española;3724;Monitores de actividades recreativas y de entretenimiento;3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas;3724;Monitores de actividades recreativas y de entretenimiento
ene-21;Mujer;Villaverde;Mayor de 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-21;Mujer;San Blas;Entre 26 y 35 años;Extracomunitaria;2484;Diseñadores gráficos y multimedia;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Mujer;Latina;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-21;Hombre;Villaverde;Menor de 25 años;Española;7401;Mecánicos y ajustadores de vehículos de motor;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
ene-21;Mujer;Otro Municipio;Entre 46 y 55 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;;;
ene-21;Hombre;Tetuán;Menor de 25 años;Española;5120;Camareros asalariados;;;;
ene-21;Mujer;Chamberí;Entre 26 y 35 años;Española;4113;Empleados de oficina de servicios estadísticos, financieros y bancarios;3401;Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas;3613;Asistentes de dirección y administrativos
ene-21;Mujer;Otro Municipio;Entre 26 y 35 años;Española;4412;Recepcionistas (excepto de hoteles);3723;Instructores de actividades deportivas;3613;Asistentes de dirección y administrativos
ene-21;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;5811;Peluqueros;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Mujer;Arganzuela;Entre 46 y 55 años;Española;4411;Empleados de información al usuario;5220;Vendedores en tiendas y almacenes;;
ene-21;Mujer;Vicálvaro;Entre 36 y 45 años;Española;5629;Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes;9811;Peones del transporte de mercancías y descargadores;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Hombre;Latina;Entre 36 y 45 años;Extracomunitaria;2625;Especialistas en formación de personal;2723;Analistas de redes informáticas;;
ene-21;Mujer;San Blas;Entre 26 y 35 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;9443;Barrenderos y afines
ene-21;Hombre;Arganzuela;Entre 46 y 55 años;Española;2431;Ingenieros industriales y de producción;3405;Tasadores;;
ene-21;Mujer;Tetuán;Entre 36 y 45 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);4411;Empleados de información al usuario
ene-21;Mujer;Tetuán;Entre 36 y 45 años;Española;2933;Coreógrafos y bailarines;5220;Vendedores en tiendas y almacenes;3723;Instructores de actividades deportivas
ene-21;Hombre;Fuencarral-el Pardo;Entre 26 y 35 años;Extracomunitaria;3311;Técnicos en radioterapia;;;;
ene-21;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;4424;Teleoperadores;4412;Recepcionistas (excepto de hoteles);4411;Empleados de información al usuario
ene-21;Mujer;Centro;Entre 46 y 55 años;Extracomunitaria;3532;Organizadores de conferencias y eventos;2624;Especialistas en políticas y servicios de personal y afines;;
ene-21;Hombre;Usera;Entre 56 y 65 años;Española;9820;Reponedores;8412;Conductores asalariados de automóviles, taxis y furgonetas;7121;Albañiles
ene-21;Mujer;Carabanchel;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
ene-21;Mujer;Arganzuela;Entre 36 y 45 años;Española;4424;Teleoperadores;3613;Asistentes de dirección y administrativos;4412;Recepcionistas (excepto de hoteles)
ene-21;Mujer;Ciudad Lineal;Entre 26 y 35 años;Extracomunitaria;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes;9820;Reponedores
ene-21;Hombre;Latina;Menor de 25 años;Española;7191;Mantenedores de edificios;3123;Técnicos en electricidad;;
ene-21;Mujer;Usera;Entre 46 y 55 años;Extracomunitaria;3510;Agentes y representantes comerciales;;;;
ene-21;Hombre;Otro Municipio;Entre 26 y 35 años;Española;7191;Mantenedores de edificios;7250;Mecánicos-instaladores de refrigeración y climatización;3122;Técnicos en construcción
ene-21;Mujer;Barajas;Menor de 25 años;Comunitaria;5821;Auxiliares de vuelo y camareros de avión, barco y tren;5824;Azafatos de tierra;4424;Teleoperadores
ene-21;Hombre;San Blas;Entre 46 y 55 años;Extracomunitaria;7121;Albañiles;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5833;Conserjes de edificios
ene-21;Hombre;Carabanchel;Entre 26 y 35 años;Española;3811;Técnicos en operaciones de sistemas informáticos;3812;Técnicos en asistencia al usuario de tecnologías de la información;3813;Técnicos en redes
ene-21;Mujer;Otro Municipio;Entre 26 y 35 años;Española;2252;Técnicos en educación infantil;2251;Maestros de educación infantil;;
ene-21;Hombre;Vicálvaro;Entre 26 y 35 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;5420;Operadores de telemarketing;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Mujer;Latina;Entre 46 y 55 años;Española;5812;Especialistas en tratamientos de estética, bienestar y afines;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5220;Vendedores en tiendas y almacenes
ene-21;Mujer;Villaverde;Menor de 25 años;Comunitaria;;;;;;
ene-21;Mujer;Centro;Entre 36 y 45 años;Española;4412;Recepcionistas (excepto de hoteles);4122;Empleados de oficina de servicios de apoyo a la producción;3713;Profesionales de apoyo al trabajo y a la educación social
ene-21;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;3122;Técnicos en construcción;3132;Técnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares;3812;Técnicos en asistencia al usuario de tecnologías de la información
feb-21;Mujer;Chamartín;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos
feb-21;Mujer;San Blas;Entre 36 y 45 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
feb-21;Hombre;Latina;Entre 46 y 55 años;Extracomunitaria;7121;Albañiles;9310;Ayudantes de cocina;;
feb-21;Mujer;Retiro;Entre 46 y 55 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3613;Asistentes de dirección y administrativos
feb-21;Mujer;Villaverde;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5811;Peluqueros;9310;Ayudantes de cocina
feb-21;Mujer;Usera;Menor de 25 años;Española;5722;Cuidadores de niños en domicilios;;;;
feb-21;Mujer;Tetuán;Entre 26 y 35 años;Española;9229;Otro personal de limpieza;9310;Ayudantes de cocina;;
feb-21;Hombre;Centro;Entre 26 y 35 años;Española;5110;Cocineros asalariados;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;7703;Panaderos, pasteleros y confiteros
feb-21;Hombre;San Blas;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;5220;Vendedores en tiendas y almacenes;7533;Instaladores y reparadores en tecnologías de la información y las comunicaciones
feb-21;Hombre;Fuencarral-el Pardo;Entre 56 y 65 años;Extracomunitaria;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9700;Peones de las industrias manufactureras;;
feb-21;Hombre;Tetuán;Entre 26 y 35 años;Española;5500;Cajeros y taquilleros (excepto bancos);4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;9602;Peones de la construcción de edificios
feb-21;Hombre;Barajas;Menor de 25 años;Española;9602;Peones de la construcción de edificios;9310;Ayudantes de cocina;5420;Operadores de telemarketing
feb-21;Hombre;Villaverde;Menor de 25 años;Española;9820;Reponedores;9700;Peones de las industrias manufactureras;9811;Peones del transporte de mercancías y descargadores
feb-21;Hombre;Villa De Vallecas;Entre 56 y 65 años;Española;3732;Diseñadores y decoradores de interior;2324;Profesores de enseñanza no reglada de artes;2311;Profesores de educación especial
feb-21;Mujer;Ciudad Lineal;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;;
feb-21;Hombre;Latina;Menor de 25 años;Española;9811;Peones del transporte de mercancías y descargadores;5220;Vendedores en tiendas y almacenes;9310;Ayudantes de cocina
feb-21;Hombre;Villa De Vallecas;Entre 46 y 55 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;2651;Profesionales de la publicidad y la comercialización;3510;Agentes y representantes comerciales
feb-21;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;;;
feb-21;Mujer;Arganzuela;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;3532;Organizadores de conferencias y eventos;4301;Grabadores de datos
feb-21;Mujer;Hortaleza;Menor de 25 años;Española;4424;Teleoperadores;5220;Vendedores en tiendas y almacenes;9320;Preparadores de comidas rápidas
feb-21;Mujer;Ciudad Lineal;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-21;Mujer;Carabanchel;Entre 46 y 55 años;Española;9310;Ayudantes de cocina;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9820;Reponedores
feb-21;Hombre;Tetuán;Entre 46 y 55 años;Española;5831;Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;8170;Operadores de máquinas de lavandería y tintorería
feb-21;Mujer;Villa De Vallecas;Entre 36 y 45 años;Extracomunitaria;5120;Camareros asalariados;9310;Ayudantes de cocina;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-21;Hombre;Puente De Vallecas;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados;9820;Reponedores
feb-21;Mujer;Fuencarral-el Pardo;Menor de 25 años;Extracomunitaria;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados
feb-21;Mujer;Arganzuela;Menor de 25 años;Española;4309;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;
feb-21;Mujer;Villaverde;Entre 46 y 55 años;Española;4424;Teleoperadores;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles)
feb-21;Mujer;Carabanchel;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;4121;Empleados de control de abastecimientos e inventario;;
feb-21;Mujer;Barajas;Entre 26 y 35 años;Española;2511;Abogados;3612;Asistentes jurídico-legales;5824;Azafatos de tierra
feb-21;Mujer;Fuencarral-el Pardo;Entre 36 y 45 años;Extracomunitaria;5811;Peluqueros;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
feb-21;Mujer;Tetuán;Entre 46 y 55 años;Extracomunitaria;5722;Cuidadores de niños en domicilios;9229;Otro personal de limpieza;5710;Trabajadores de los cuidados personales a domicilio
feb-21;Mujer;Puente De Vallecas;Entre 56 y 65 años;Española;7899;Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes;9700;Peones de las industrias manufactureras;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-21;Hombre;Usera;Menor de 25 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina;;
feb-21;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9310;Ayudantes de cocina;5722;Cuidadores de niños en domicilios
feb-21;Mujer;Carabanchel;Entre 46 y 55 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;;
feb-21;Mujer;Barajas;Entre 46 y 55 años;Española;2624;Especialistas en políticas y servicios de personal y afines;2624;Especialistas en políticas y servicios de personal y afines;2824;Profesionales del trabajo y la educación social
feb-21;Hombre;Carabanchel;Entre 46 y 55 años;Comunitaria;8209;Montadores y ensambladores no clasificados en otros epígrafes;7121;Albañiles;7192;Instaladores de fachadas técnicas
feb-21;Hombre;Ciudad Lineal;Entre 56 y 65 años;Comunitaria;5110;Cocineros asalariados;9310;Ayudantes de cocina;9310;Ayudantes de cocina
feb-21;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos
feb-21;Mujer;Puente De Vallecas;Menor de 25 años;Española;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;5722;Cuidadores de niños en domicilios
feb-21;Mujer;Hortaleza;Entre 46 y 55 años;Española;2484;Diseñadores gráficos y multimedia;2484;Diseñadores gráficos y multimedia;;
feb-21;Mujer;Retiro;Entre 46 y 55 años;Española;2599;Profesionales del derecho no clasificados bajo otros epígrafes;2599;Profesionales del derecho no clasificados bajo otros epígrafes;;
feb-21;Mujer;Tetuán;Entre 56 y 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5833;Conserjes de edificios;9100;Empleados domésticos
feb-21;Mujer;Centro;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);4111;Empleados de contabilidad
feb-21;Mujer;Villaverde;Menor de 25 años;Española;9100;Empleados domésticos;9310;Ayudantes de cocina;5120;Camareros asalariados
feb-21;Hombre;Villa De Vallecas;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados;;
feb-21;Mujer;Otro Municipio;Entre 36 y 45 años;Española;4441;Cajeros de bancos y afines;4113;Empleados de oficina de servicios estadísticos, financieros y bancarios;3613;Asistentes de dirección y administrativos
feb-21;Mujer;Hortaleza;Entre 36 y 45 años;Española;2252;Técnicos en educación infantil;3724;Monitores de actividades recreativas y de entretenimiento;;
feb-21;Hombre;San Blas;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad;4112;Empleados de control de personal y nóminas
feb-21;Mujer;Puente De Vallecas;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;9310;Ayudantes de cocina;5824;Azafatos de tierra
feb-21;Mujer;Ciudad Lineal;Entre 26 y 35 años;Española;2484;Diseñadores gráficos y multimedia;5120;Camareros asalariados;9310;Ayudantes de cocina
feb-21;Mujer;Retiro;Entre 36 y 45 años;Española;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
feb-21;Hombre;Otro Municipio;Entre 26 y 35 años;Extracomunitaria;8412;Conductores asalariados de automóviles, taxis y furgonetas;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
feb-21;Mujer;Usera;Entre 26 y 35 años;Extracomunitaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;5710;Trabajadores de los cuidados personales a domicilio
feb-21;Mujer;Salamanca;Entre 26 y 35 años;Española;;;;;;
feb-21;Hombre;Arganzuela;Entre 26 y 35 años;Española;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;8412;Conductores asalariados de automóviles, taxis y furgonetas;9820;Reponedores
feb-21;Mujer;Usera;Entre 26 y 35 años;Española;9811;Peones del transporte de mercancías y descargadores;5500;Cajeros y taquilleros (excepto bancos);9820;Reponedores
feb-21;Mujer;Arganzuela;Entre 26 y 35 años;Española;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;3127;Técnicos y analistas de laboratorio en química industrial;3203;Supervisores de industrias alimenticias y del tabaco
feb-21;Mujer;Otro Municipio;Entre 26 y 35 años;Española;2652;Profesionales de relaciones públicas;2922;Periodistas;;
feb-21;Hombre;Carabanchel;Entre 46 y 55 años;Española;8209;Montadores y ensambladores no clasificados en otros epígrafes;9602;Peones de la construcción de edificios;8412;Conductores asalariados de automóviles, taxis y furgonetas
feb-21;Mujer;Otro Municipio;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;
feb-21;Mujer;Carabanchel;Entre 26 y 35 años;Española;5220;Vendedores en tiendas y almacenes;9700;Peones de las industrias manufactureras;9820;Reponedores
feb-21;Mujer;Carabanchel;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9310;Ayudantes de cocina
feb-21;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;2484;Diseñadores gráficos y multimedia;2484;Diseñadores gráficos y multimedia;3831;Técnicos de grabación audiovisual
