Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-21;Hombre;Otro Municipio;Entre 46 y 55 años;Española;4123;Empleados de logística y transporte de pasajeros y mercancías;9811;Peones del transporte de mercancías y descargadores;8333;Operadores de carretillas elevadoras
ene-21;Mujer;Usera;Menor de 25 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5722;Cuidadores de niños en domicilios;5710;Trabajadores de los cuidados personales a domicilio
ene-21;Mujer;Salamanca;Entre 36 y 45 años;Extracomunitaria;3713;Profesionales de apoyo al trabajo y a la educación social;5500;Cajeros y taquilleros (excepto bancos);5220;Vendedores en tiendas y almacenes
ene-21;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;5811;Peluqueros;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Mujer;Latina;Entre 56 y 65 años;Comunitaria;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-21;Mujer;Latina;Entre 36 y 45 años;Española;4412;Recepcionistas (excepto de hoteles);3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5120;Camareros asalariados;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Mujer;Villaverde;Entre 36 y 45 años;Española;9100;Empleados domésticos;5621;Técnicos auxiliares de farmacia;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-21;Hombre;Fuencarral-el Pardo;Entre 36 y 45 años;Española;4111;Empleados de contabilidad;3613;Asistentes de dirección y administrativos;;
ene-21;Hombre;Tetuán;Entre 46 y 55 años;Española;;;;;;
ene-21;Mujer;Vicálvaro;Mayor de 65 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;2322;Profesores de enseñanza no reglada de idiomas
ene-21;Mujer;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;3613;Asistentes de dirección y administrativos
ene-21;Mujer;Centro;Entre 26 y 35 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4411;Empleados de información al usuario;5721;Cuidadores de niños en guarderías y centros educativos
ene-21;Mujer;Usera;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;4412;Recepcionistas (excepto de hoteles);2652;Profesionales de relaciones públicas
ene-21;Hombre;Hortaleza;Menor de 25 años;Española;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9433;Repartidores, recadistas y mensajeros a pie
ene-21;Mujer;Otro Municipio;Entre 46 y 55 años;Española;2624;Especialistas en políticas y servicios de personal y afines;3613;Asistentes de dirección y administrativos;;
ene-21;Mujer;Otro Municipio;Entre 36 y 45 años;Española;3510;Agentes y representantes comerciales;;;;
ene-21;Mujer;Hortaleza;Entre 26 y 35 años;Española;2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional);2240;Profesores de enseñanza primaria;3723;Instructores de actividades deportivas
ene-21;Mujer;Puente De Vallecas;Entre 26 y 35 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles)
ene-21;Mujer;San Blas;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;;;;
ene-21;Hombre;Puente De Vallecas;Entre 26 y 35 años;Española;2251;Maestros de educación infantil;3724;Monitores de actividades recreativas y de entretenimiento;2252;Técnicos en educación infantil
ene-21;Hombre;Latina;Entre 46 y 55 años;Española;5833;Conserjes de edificios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9602;Peones de la construcción de edificios
ene-21;Mujer;Ciudad Lineal;Entre 26 y 35 años;Extracomunitaria;3613;Asistentes de dirección y administrativos;5220;Vendedores en tiendas y almacenes;;
ene-21;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9700;Peones de las industrias manufactureras;7121;Albañiles
ene-21;Hombre;Usera;Entre 56 y 65 años;Española;;;;;;
ene-21;Hombre;Carabanchel;Entre 26 y 35 años;Comunitaria;;;;;;
ene-21;Hombre;San Blas;Entre 26 y 35 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5220;Vendedores en tiendas y almacenes;2624;Especialistas en políticas y servicios de personal y afines
ene-21;Hombre;San Blas;Entre 46 y 55 años;Española;5833;Conserjes de edificios;9431;Ordenanzas;9700;Peones de las industrias manufactureras
ene-21;Hombre;San Blas;Entre 46 y 55 años;Extracomunitaria;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;5833;Conserjes de edificios;7191;Mantenedores de edificios
ene-21;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;4412;Recepcionistas (excepto de hoteles);5120;Camareros asalariados
ene-21;Mujer;Otro Municipio;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9811;Peones del transporte de mercancías y descargadores;5120;Camareros asalariados
ene-21;Hombre;Arganzuela;Entre 36 y 45 años;Extracomunitaria;5110;Cocineros asalariados;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes
ene-21;Hombre;Villaverde;Entre 26 y 35 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes
ene-21;Mujer;Latina;Menor de 25 años;Española;5120;Camareros asalariados;5220;Vendedores en tiendas y almacenes;5420;Operadores de telemarketing
ene-21;Mujer;Salamanca;Entre 56 y 65 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9229;Otro personal de limpieza;;
ene-21;Mujer;Otro Municipio;Entre 36 y 45 años;Española;3613;Asistentes de dirección y administrativos;2451;Arquitectos (excepto arquitectos paisajistas y urbanistas);;
ene-21;Mujer;Otro Municipio;Menor de 25 años;Española;3532;Organizadores de conferencias y eventos;2651;Profesionales de la publicidad y la comercialización;;
ene-21;Mujer;Otro Municipio;Entre 56 y 65 años;Española;5629;Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9310;Ayudantes de cocina
ene-21;Mujer;Latina;Menor de 25 años;Española;3613;Asistentes de dirección y administrativos;2599;Profesionales del derecho no clasificados bajo otros epígrafes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Hombre;Fuencarral-el Pardo;Entre 46 y 55 años;Extracomunitaria;7221;Fontaneros;7121;Albañiles;5110;Cocineros asalariados
ene-21;Mujer;San Blas;Entre 46 y 55 años;Española;4424;Teleoperadores;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;
ene-21;Mujer;Retiro;Entre 26 y 35 años;Extracomunitaria;4111;Empleados de contabilidad;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4424;Teleoperadores
ene-21;Hombre;Latina;Entre 26 y 35 años;Española;;;;;;
ene-21;Hombre;Moratalaz;Entre 36 y 45 años;Extracomunitaria;5120;Camareros asalariados;9602;Peones de la construcción de edificios;8333;Operadores de carretillas elevadoras
ene-21;Hombre;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados;9811;Peones del transporte de mercancías y descargadores
ene-21;Mujer;Otro Municipio;Entre 26 y 35 años;Española;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías;3510;Agentes y representantes comerciales;;
