,Fecha de Inscripción,Género,Distrito,Tramos de Edad,Nacionalidad,Objetivo Profesional 1
2677,feb-21,Mujer,San Blas,Entre 36 y 45 años,Española,Ayudantes de cocina
2686,feb-21,Mujer,Fuencarral-el Pardo,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2688,feb-21,Mujer,Retiro,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2691,feb-21,Mujer,Arganzuela,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
2692,feb-21,Hombre,Latina,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
2698,feb-21,Mujer,Barajas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2705,feb-21,Mujer,Latina,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
2708,feb-21,Mujer,Chamartín,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
2712,feb-21,Hombre,Villaverde,Entre 26 y 35 años,Extracomunitaria,Recepcionistas de hoteles
2713,feb-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Peluqueros
2725,mar-21,Hombre,Arganzuela,Entre 56 y 65 años,Española,Ayudantes de cocina
2728,mar-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
2736,mar-21,Mujer,Centro,Entre 36 y 45 años,Española,Ayudantes de cocina
2738,mar-21,Mujer,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2740,mar-21,Hombre,Vicálvaro,Menor de 25 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
2741,mar-21,Hombre,Otro Municipio,Menor de 25 años,Extracomunitaria,Técnicos de emergencias sanitarias
2742,mar-21,Hombre,Vicálvaro,Menor de 25 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
2744,mar-21,Mujer,Latina,Entre 46 y 55 años,Española,Ayudantes de cocina
2751,mar-21,Mujer,San Blas,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
2754,mar-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
2755,mar-21,Mujer,Arganzuela,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
2757,mar-21,Mujer,Tetuán,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
2764,mar-21,Hombre,Tetuán,Entre 36 y 45 años,Española,Técnicos de grabación audiovisual
2768,mar-21,Mujer,Latina,Entre 26 y 35 años,Extracomunitaria,Mantenedores de edificios
2774,mar-21,Hombre,Ciudad Lineal,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2779,mar-21,Mujer,Vicálvaro,Entre 36 y 45 años,Comunitaria,Ayudantes de cocina
2781,mar-21,Mujer,Centro,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
2784,mar-21,Mujer,Arganzuela,Entre 26 y 35 años,Española,Recepcionistas de hoteles
2785,mar-21,Mujer,Latina,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
2787,mar-21,Hombre,Ciudad Lineal,Entre 26 y 35 años,Española,Bañistas-socorristas
2788,mar-21,Mujer,Otro Municipio,Menor de 25 años,Comunitaria,Auxiliares de enfermería hospitalaria
2792,mar-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
2794,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
2802,mar-21,Mujer,Tetuán,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2807,mar-21,Mujer,Centro,Entre 46 y 55 años,Española,Profesionales de la publicidad y la comercialización
2810,mar-21,Hombre,Puente De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2813,mar-21,Mujer,Hortaleza,Menor de 25 años,Comunitaria,Vendedores en tiendas y almacenes
2823,mar-21,Mujer,Usera,Entre 46 y 55 años,Española,Técnicos de emergencias sanitarias
2825,mar-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2827,mar-21,Mujer,Otro Municipio,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
2829,mar-21,Hombre,Villaverde,Entre 46 y 55 años,Española,Mantenedores de edificios
2834,mar-21,Hombre,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2835,mar-21,Mujer,Salamanca,Entre 36 y 45 años,Española,Empleados de agencias de viajes
2843,mar-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Española,Operadores de telemarketing
2846,mar-21,Hombre,Latina,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
2848,mar-21,Hombre,Barajas,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
2850,mar-21,Mujer,Moratalaz,Entre 26 y 35 años,Española,Peluqueros
2853,mar-21,Hombre,Moratalaz,Entre 56 y 65 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
2856,mar-21,Mujer,Carabanchel,Entre 46 y 55 años,Comunitaria,Ayudantes de cocina
2857,mar-21,Hombre,Usera,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
2858,mar-21,Mujer,Chamberí,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
2868,mar-21,Hombre,Ciudad Lineal,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2870,mar-21,Mujer,Latina,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
2872,mar-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2880,mar-21,Mujer,Arganzuela,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
2881,mar-21,Mujer,Villaverde,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2884,mar-21,Mujer,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2892,mar-21,Mujer,Carabanchel,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2895,mar-21,Mujer,Chamberí,Entre 26 y 35 años,Española,Ayudantes de cocina
2896,mar-21,Mujer,Puente De Vallecas,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2897,mar-21,Mujer,Usera,Entre 36 y 45 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
2899,mar-21,Mujer,Villaverde,Entre 36 y 45 años,Española,Peluqueros
2901,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
2904,mar-21,Mujer,Retiro,Entre 56 y 65 años,Española,Guías de turismo
2906,mar-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
2911,mar-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
2913,mar-21,Hombre,Fuencarral-el Pardo,Entre 46 y 55 años,Extracomunitaria,Técnicos de grabación audiovisual
2923,mar-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
2925,mar-21,Mujer,Latina,Entre 26 y 35 años,Española,Recepcionistas de hoteles
2930,mar-21,Hombre,Villaverde,Entre 56 y 65 años,Extracomunitaria,Vendedores en tiendas y almacenes
2933,mar-21,Mujer,Latina,Menor de 25 años,Española,Peluqueros
2936,mar-21,Mujer,Arganzuela,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2937,mar-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
2938,mar-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
2939,mar-21,Hombre,Villa De Vallecas,Entre 36 y 45 años,Española,Técnicos de grabación audiovisual
2940,mar-21,Hombre,Vicálvaro,Entre 26 y 35 años,Española,Técnicos de grabación audiovisual
2943,mar-21,Mujer,Salamanca,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
2944,mar-21,Hombre,Retiro,Entre 26 y 35 años,Española,Técnicos de emergencias sanitarias
2947,mar-21,Mujer,Hortaleza,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
2951,mar-21,Mujer,Villaverde,Menor de 25 años,Española,Vendedores en tiendas y almacenes
2954,mar-21,Hombre,Tetuán,Menor de 25 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
2957,mar-21,Mujer,Fuencarral-el Pardo,Menor de 25 años,Española,Diseñadores gráficos y multimedia
2960,mar-21,Mujer,Hortaleza,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
2964,mar-21,Mujer,Carabanchel,Entre 26 y 35 años,Española,Operadores de telemarketing
2965,mar-21,Mujer,Usera,Entre 36 y 45 años,Comunitaria,Vendedores en tiendas y almacenes
2966,mar-21,Hombre,Latina,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2974,mar-21,Hombre,Centro,Menor de 25 años,Española,Asistentes de dirección y administrativos
2976,mar-21,Hombre,Ciudad Lineal,Entre 56 y 65 años,Española,Diseñadores gráficos y multimedia
2980,mar-21,Mujer,Centro,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
2981,mar-21,Mujer,Latina,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
2983,mar-21,Mujer,Puente De Vallecas,Entre 56 y 65 años,Española,Ayudantes de cocina
2985,mar-21,Hombre,San Blas,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
2986,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
2989,mar-21,Mujer,Usera,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
2994,mar-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,Técnicos de emergencias sanitarias
3002,mar-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Española,Profesionales de la publicidad y la comercialización
3003,mar-21,Hombre,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Técnicos de grabación audiovisual
3005,mar-21,Mujer,Ciudad Lineal,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3007,mar-21,Mujer,Villaverde,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
3009,mar-21,Mujer,Vicálvaro,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
3012,mar-21,Mujer,Latina,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
3014,mar-21,Hombre,Centro,Menor de 25 años,Extracomunitaria,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3015,mar-21,Mujer,Barajas,Entre 36 y 45 años,Española,Ayudantes de cocina
3016,mar-21,Mujer,Ciudad Lineal,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3023,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Extracomunitaria,Diseñadores gráficos y multimedia
3025,mar-21,Mujer,Carabanchel,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
3029,mar-21,Mujer,Centro,Entre 26 y 35 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3031,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
3032,mar-21,Mujer,Tetuán,Entre 36 y 45 años,Extracomunitaria,"Especialistas en tratamientos de estética, bienestar y afines"
3037,mar-21,Hombre,Ciudad Lineal,Menor de 25 años,Extracomunitaria,Preparadores de comidas rápidas
3044,mar-21,Hombre,Fuencarral-el Pardo,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3045,mar-21,Mujer,Otro Municipio,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
3046,mar-21,Mujer,Carabanchel,Menor de 25 años,Española,Peluqueros
3049,mar-21,Mujer,Centro,Entre 46 y 55 años,Española,Empleados de contabilidad
3055,mar-21,Mujer,Hortaleza,Entre 26 y 35 años,Española,Ingenieros técnicos industriales y de producción
3056,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
3059,mar-21,Mujer,Puente De Vallecas,Entre 56 y 65 años,Española,Asistentes de dirección y administrativos
3061,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
3066,mar-21,Hombre,Villa De Vallecas,Entre 36 y 45 años,Extracomunitaria,Peluqueros
3070,mar-21,Mujer,Arganzuela,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
3073,mar-21,Hombre,Latina,Entre 26 y 35 años,Española,Matarifes y trabajadores de las industrias cárnicas
3082,mar-21,Mujer,Chamartín,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
3084,mar-21,Hombre,Puente De Vallecas,Menor de 25 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3086,mar-21,Mujer,Otro Municipio,Menor de 25 años,Española,Técnicos de emergencias sanitarias
3095,mar-21,Hombre,Barajas,Entre 36 y 45 años,Extracomunitaria,Ayudantes de cocina
3097,mar-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,"Especialistas en tratamientos de estética, bienestar y afines"
3104,mar-21,Hombre,Vicálvaro,Entre 46 y 55 años,Española,Diseñadores gráficos y multimedia
3106,mar-21,Mujer,Latina,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
3116,mar-21,Hombre,Villaverde,Entre 56 y 65 años,Española,Mantenedores de edificios
3119,mar-21,Mujer,Otro Municipio,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3121,mar-21,Mujer,Villa De Vallecas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3127,mar-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Comunitaria,Ayudantes de cocina
3129,mar-21,Hombre,Hortaleza,Entre 46 y 55 años,Española,Diseñadores gráficos y multimedia
3130,mar-21,Mujer,Vicálvaro,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
3133,mar-21,Hombre,Tetuán,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
3136,mar-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3140,mar-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
3148,mar-21,Mujer,Tetuán,Menor de 25 años,Española,Asistentes de dirección y administrativos
3152,mar-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
3158,mar-21,Hombre,Salamanca,Entre 46 y 55 años,Española,Profesionales de la publicidad y la comercialización
3162,mar-21,Mujer,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
3167,mar-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Española,Técnicos de grabación audiovisual
3168,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Técnicos de emergencias sanitarias
3169,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
3184,mar-21,Mujer,Carabanchel,Entre 26 y 35 años,Española,Ayudantes de cocina
3195,mar-21,Mujer,San Blas,Menor de 25 años,Española,Bañistas-socorristas
3197,mar-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,Ayudantes de cocina
3205,mar-21,Mujer,Moncloa-aravaca,Entre 36 y 45 años,Comunitaria,Vendedores en tiendas y almacenes
3209,mar-21,Hombre,San Blas,Entre 46 y 55 años,Española,"Trabajadores de la fabricación de herramientas, mecánico-ajustadores, modelistas, matriceros y afines"
3213,mar-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3220,mar-21,Hombre,Carabanchel,Entre 46 y 55 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3228,mar-21,Mujer,Latina,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
3229,mar-21,Mujer,San Blas,Entre 26 y 35 años,Española,Auxiliares de enfermería hospitalaria
3233,mar-21,Hombre,Hortaleza,Menor de 25 años,Española,Técnicos de grabación audiovisual
3238,mar-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3243,mar-21,Mujer,Salamanca,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3248,mar-21,Mujer,Latina,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
3249,mar-21,Hombre,Salamanca,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
3256,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Comunitaria,Ayudantes de cocina
3258,mar-21,Mujer,Latina,Entre 46 y 55 años,Española,Empleados de contabilidad
3260,mar-21,Mujer,Villaverde,Entre 46 y 55 años,Comunitaria,Vendedores en tiendas y almacenes
3263,mar-21,Mujer,Hortaleza,Entre 56 y 65 años,Española,Auxiliares de enfermería hospitalaria
3265,mar-21,Mujer,Puente De Vallecas,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
3267,mar-21,Mujer,Moratalaz,Entre 46 y 55 años,Comunitaria,Auxiliares de enfermería hospitalaria
3268,mar-21,Mujer,Villaverde,Entre 36 y 45 años,Española,Ayudantes de cocina
3272,mar-21,Hombre,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
3277,mar-21,Mujer,Vicálvaro,Entre 46 y 55 años,Comunitaria,Ayudantes de cocina
3283,mar-21,Hombre,Latina,Menor de 25 años,Extracomunitaria,Ayudantes de cocina
3287,mar-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Técnicos de la Web
3289,mar-21,Mujer,Chamartín,Entre 36 y 45 años,Española,Técnicos de grabación audiovisual
3290,mar-21,Hombre,Moratalaz,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
3291,mar-21,Mujer,Latina,Entre 36 y 45 años,Extracomunitaria,Peluqueros
3292,mar-21,Hombre,Latina,Entre 26 y 35 años,Española,Ayudantes de cocina
3294,mar-21,Mujer,Latina,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
3308,mar-21,Mujer,Retiro,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
3312,mar-21,Mujer,Fuencarral-el Pardo,Entre 46 y 55 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
3315,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
3323,mar-21,Hombre,San Blas,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3324,mar-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3327,mar-21,Hombre,Villaverde,Entre 26 y 35 años,Extracomunitaria,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3330,mar-21,Mujer,Moratalaz,Entre 46 y 55 años,Española,Auxiliares de enfermería hospitalaria
3331,mar-21,Mujer,Retiro,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3333,mar-21,Mujer,San Blas,Entre 46 y 55 años,Española,Vendedores en tiendas y almacenes
3335,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Española,Técnicos en laboratorio de diagnóstico clínico
3337,mar-21,Mujer,Tetuán,Entre 56 y 65 años,Española,Ayudantes de cocina
3338,mar-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3345,mar-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Empleados de contabilidad
3351,mar-21,Mujer,Carabanchel,Menor de 25 años,Española,Técnicos en laboratorio de diagnóstico clínico
3358,mar-21,Hombre,Usera,Menor de 25 años,Extracomunitaria,Bañistas-socorristas
3359,mar-21,Mujer,Puente De Vallecas,Menor de 25 años,Española,Bañistas-socorristas
3362,mar-21,Mujer,Tetuán,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3370,mar-21,Hombre,San Blas,Entre 36 y 45 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
3374,mar-21,Mujer,Hortaleza,Entre 46 y 55 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3383,mar-21,Hombre,Villaverde,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3384,mar-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Auxiliares de enfermería hospitalaria
3385,mar-21,Hombre,Hortaleza,Entre 56 y 65 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3388,mar-21,Mujer,Arganzuela,Entre 36 y 45 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
3389,mar-21,Mujer,Vicálvaro,Menor de 25 años,Extracomunitaria,Auxiliares de enfermería hospitalaria
3395,mar-21,Mujer,Ciudad Lineal,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3396,mar-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
3397,mar-21,Mujer,Usera,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
3398,mar-21,Mujer,San Blas,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3399,mar-21,Mujer,Salamanca,Entre 36 y 45 años,Española,Empleados de control de personal y nóminas
3400,mar-21,Mujer,Vicálvaro,Entre 46 y 55 años,Extracomunitaria,Empleados de control de personal y nóminas
3401,mar-21,Mujer,Otro Municipio,Entre 26 y 35 años,Española,Técnicos de emergencias sanitarias
3407,mar-21,Mujer,Latina,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
3410,mar-21,Hombre,Villaverde,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
3414,mar-21,Hombre,Otro Municipio,Entre 36 y 45 años,Comunitaria,Matarifes y trabajadores de las industrias cárnicas
3416,mar-21,Mujer,Latina,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
3419,mar-21,Mujer,Carabanchel,Entre 26 y 35 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
3433,mar-21,Hombre,Chamartín,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3435,mar-21,Hombre,Retiro,Menor de 25 años,Española,Técnicos de grabación audiovisual
3444,mar-21,Hombre,Villaverde,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
3446,mar-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
3448,mar-21,Mujer,Puente De Vallecas,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
3455,mar-21,Mujer,Retiro,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3456,mar-21,Mujer,Latina,Entre 36 y 45 años,Española,Trabajadores de procesos de encuadernación
3458,mar-21,Hombre,Otro Municipio,Menor de 25 años,Comunitaria,Asistentes de dirección y administrativos
3467,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Española,Dietistas y nutricionistas
3469,mar-21,Mujer,Fuencarral-el Pardo,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3471,mar-21,Mujer,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3475,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Española,"Especialistas en tratamientos de estética, bienestar y afines"
3484,mar-21,Hombre,Carabanchel,Entre 46 y 55 años,Española,Empleados de contabilidad
3485,mar-21,Hombre,Villaverde,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3486,mar-21,Hombre,Usera,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3487,mar-21,Mujer,Latina,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
3488,mar-21,Mujer,Latina,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
3492,mar-21,Hombre,Tetuán,Menor de 25 años,Española,Preparadores de comidas rápidas
3495,mar-21,Mujer,Carabanchel,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3496,mar-21,Hombre,Villaverde,Entre 56 y 65 años,Española,Mecánicos y ajustadores de vehículos de motor
3499,mar-21,Mujer,Hortaleza,Entre 26 y 35 años,Extracomunitaria,Asistentes de dirección y administrativos
3505,mar-21,Hombre,Villaverde,Entre 46 y 55 años,Española,Mantenedores de edificios
3508,mar-21,Mujer,Otro Municipio,Entre 26 y 35 años,Española,Peluqueros
3509,mar-21,Hombre,Fuencarral-el Pardo,Entre 26 y 35 años,Española,Técnicos de grabación audiovisual
3514,mar-21,Hombre,Carabanchel,Entre 26 y 35 años,Comunitaria,Asistentes de dirección y administrativos
3515,mar-21,Mujer,Retiro,Entre 36 y 45 años,Española,"Peones agrícolas en huertas, invernaderos, viveros y jardines"
3525,mar-21,Mujer,Otro Municipio,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
3526,mar-21,Mujer,Puente De Vallecas,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3527,mar-21,Mujer,Arganzuela,Entre 26 y 35 años,Extracomunitaria,Ayudantes de cocina
3528,mar-21,Mujer,Villaverde,Entre 26 y 35 años,Extracomunitaria,Vendedores en tiendas y almacenes
3529,mar-21,Hombre,Latina,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3530,mar-21,Mujer,Ciudad Lineal,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3534,mar-21,Mujer,San Blas,Entre 36 y 45 años,Extracomunitaria,Asistentes de dirección y administrativos
3540,mar-21,Mujer,Villa De Vallecas,Entre 46 y 55 años,Española,Operadores de telemarketing
3560,mar-21,Mujer,Vicálvaro,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
3561,mar-21,Mujer,Carabanchel,Entre 26 y 35 años,Extracomunitaria,Técnicos de emergencias sanitarias
3563,mar-21,Mujer,Usera,Entre 36 y 45 años,Española,Técnicos de grabación audiovisual
3564,mar-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3570,mar-21,Hombre,Puente De Vallecas,Entre 26 y 35 años,Extracomunitaria,Diseñadores gráficos y multimedia
3575,mar-21,Hombre,Otro Municipio,Entre 26 y 35 años,Española,Bañistas-socorristas
3577,mar-21,Mujer,Hortaleza,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
3578,mar-21,Hombre,Latina,Entre 26 y 35 años,Española,Técnicos forestales y del medio natural
3581,mar-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Asistentes de dirección y administrativos
3583,mar-21,Mujer,Hortaleza,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3584,mar-21,Mujer,Carabanchel,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
3585,mar-21,Mujer,Carabanchel,Menor de 25 años,Española,Técnicos de emergencias sanitarias
3586,mar-21,Hombre,Arganzuela,Entre 36 y 45 años,Extracomunitaria,Vendedores en tiendas y almacenes
3590,mar-21,Mujer,Otro Municipio,Entre 46 y 55 años,Española,Asistentes de dirección y administrativos
3593,mar-21,Mujer,Otro Municipio,Entre 36 y 45 años,Española,Vendedores en tiendas y almacenes
3600,mar-21,Mujer,Ciudad Lineal,Entre 46 y 55 años,Extracomunitaria,Asistentes de dirección y administrativos
3606,mar-21,Hombre,Moncloa-aravaca,Entre 26 y 35 años,Española,Vendedores en tiendas y almacenes
3607,mar-21,Mujer,Vicálvaro,Menor de 25 años,Española,Vendedores en tiendas y almacenes
3608,mar-21,Hombre,Latina,Entre 46 y 55 años,Española,Mantenedores de edificios
3612,mar-21,Mujer,Otro Municipio,Menor de 25 años,Extracomunitaria,Vendedores en tiendas y almacenes
3618,mar-21,Hombre,Arganzuela,Entre 26 y 35 años,Española,Diseñadores gráficos y multimedia
3621,mar-21,Hombre,Carabanchel,Entre 46 y 55 años,Comunitaria,Matarifes y trabajadores de las industrias cárnicas
3623,mar-21,Hombre,Latina,Menor de 25 años,Española,Bañistas-socorristas
3624,mar-21,Mujer,Villaverde,Menor de 25 años,Española,Auxiliares de enfermería hospitalaria
3627,mar-21,Hombre,Chamberí,Menor de 25 años,Española,Dietistas y nutricionistas
3631,mar-21,Hombre,Hortaleza,Entre 26 y 35 años,Española,Asistentes de dirección y administrativos
